CustomerId,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ
15634602,1,2,42,7,? 0.00,1,1,1,"? 1,01,349.00",1,23-03-2016
15647311,2,2,41,4,"? 83,808.00",1,0,1,"? 1,12,543.00",0,09-10-2018
15619304,1,2,42,4,"? 1,59,661.00",3,1,0,"? 1,13,932.00",1,25-03-2019
15701354,1,2,39,3,? 0.00,2,0,0,"? 93,827.00",0,24-10-2019
15737888,2,2,43,3,"? 1,25,511.00",1,1,1,"? 79,084.00",0,22-11-2019
15574012,2,1,44,4,"? 1,13,756.00",2,1,0,"? 1,49,757.00",1,21-12-2018
15592531,1,1,50,0,? 0.00,2,1,1,"? 10,063.00",0,28-09-2016
15656148,3,2,29,5,"? 1,15,047.00",4,1,0,"? 1,19,347.00",1,20-04-2018
15792365,1,1,44,5,"? 1,42,051.00",2,0,1,"? 74,941.00",0,04-02-2018
15592389,1,1,27,5,"? 1,34,604.00",1,1,1,"? 71,726.00",0,27-05-2018
15767821,1,1,31,7,"? 1,02,017.00",2,0,0,"? 80,181.00",0,27-07-2016
15737173,2,1,24,7,? 0.00,2,1,0,"? 76,390.00",0,12-09-2016
15632264,1,2,34,3,? 0.00,2,1,0,"? 26,261.00",0,04-11-2019
15691483,1,2,25,6,? 0.00,2,0,0,"? 1,90,858.00",0,21-12-2016
15600882,2,2,35,6,? 0.00,2,1,1,"? 65,952.00",0,22-03-2017
15643966,3,1,45,4,"? 1,43,129.00",2,0,1,"? 64,327.00",0,18-01-2019
15737452,3,1,58,4,? 0.00,1,1,0,"? 5,098.00",1,08-10-2018
15788218,2,2,24,3,? 0.00,2,1,1,"? 14,406.00",0,09-10-2019
15661507,2,1,45,3,? 0.00,1,0,0,"? 1,58,685.00",0,20-10-2019
15568982,1,2,24,5,? 0.00,2,1,1,"? 54,724.00",0,15-03-2018
15577657,1,1,41,5,? 0.00,2,1,1,"? 1,70,886.00",0,30-12-2017
15597945,2,2,32,5,? 0.00,2,1,0,"? 1,38,555.00",0,05-03-2018
15699309,2,2,38,4,? 0.00,1,1,0,"? 1,18,914.00",1,03-04-2019
15725737,1,1,46,3,? 0.00,2,0,1,"? 8,488.00",0,26-09-2019
